Stage,Day,Time,Act
Fishtown,Saturday 29th August,23:00 - 00:00,SIDESHOW DISCO
Fishtown,Saturday 29th August,00:30 - 02:00,TRAD RAVE
Fishtown,Saturday 29th August,02:00 - 04:00,BILLY SCURRY
Fishtown,Saturday 29th August,02:00 - 04:00,Kelly-Anne Byrne
Fishtown,Sunday 30th August,13:25 - 14:10,OLIVIA IS A GHOST
Fishtown,Sunday 30th August,14:30 - 15:15,CRAYFISH
Fishtown,Sunday 30th August,15:45 - 16:30,CALUM AGNEW
Fishtown,Sunday 30th August,17:00 - 18:00,REGINA & THE QUEENS
Fishtown,Sunday 30th August,18:30 - 19:30,SHOBSY
Fishtown,Sunday 30th August,20:00 - 21:00,DELUSH
Fishtown,Sunday 30th August,21:30 - 22:30,DOSE
Fishtown,Sunday 30th August,23:00 - 00:00,THE YEAR GRUNGE BROKE
Fishtown,Sunday 30th August,00:30 - 02:00,SECRET ACT
Fishtown - Heart and Anchor,Friday 28th August,14:00 - 15:30,Ste 45
Fishtown - Heart and Anchor,Friday 28th August,15:30 - 17:00,Johnny Blazed
Fishtown - Heart and Anchor,Friday 28th August,17:00 - 18:30,Captain Birdsong
Fishtown - Heart and Anchor,Friday 28th August,18:30 - 19:30,Checkpiont Charlie
Fishtown - Heart and Anchor,Friday 28th August,19:30 - 21:00,Eddie B
Fishtown - Heart and Anchor,Friday 28th August,21:00 - 22:30,Cyriac
Fishtown - Heart and Anchor,Friday 28th August,22:30 - 01:30,the se7en inch collective
Fishtown - Heart and Anchor,Friday 28th August,01:30 - 03:00,Mattie B
Fishtown - Heart and Anchor,Saturday 29th August,15:00 - 19:00,The Woohah Hip Hop & Chess
Fishtown - Heart and Anchor,Saturday 29th August,19:00 - 20:00,Jonezy
Fishtown - Heart and Anchor,Saturday 29th August,20:00 - 22:00,Swiss
Fishtown - Heart and Anchor,Saturday 29th August,22:00 - 23:59,Local Groove Records
Fishtown - Heart and Anchor,Saturday 29th August,00:00 - 02:00,JusMe
Fishtown - Heart and Anchor,Saturday 29th August,02:00 - 04:00,K I L O
Fishtown - Heart and Anchor,Sunday 30th August,13:00 - 15:00,Chartini
Fishtown - Heart and Anchor,Sunday 30th August,15:00 - 16:00,Eile
Fishtown - Heart and Anchor,Sunday 30th August,16:00 - 18:00,Jacqui
Fishtown - Heart and Anchor,Sunday 30th August,18:00 - 20:00,Daria
Fishtown - Heart and Anchor,Sunday 30th August,20:00 - 22:00,Dandelion
Fishtown - Heart and Anchor,Sunday 30th August,22:00 - 23:59,DJ Sinéad Ní Mhórdha
Fishtown - Heart and Anchor,Sunday 30th August,00:00 - 01:00,The Night Mayor & ED IS ON
Fishtown - Sideshow Circus Stage,Friday 28th August,20:00 - 20:45,Jean Pack
Fishtown - Sideshow Circus Stage,Saturday 29th August,02:00 - 04:00,Billy Scurry/Kelly Ann-Byrne
Fishtown - Sideshow Circus Stage,Sunday 30th August,00:30 - 02:00,The End of the World Party Secret Act
Fosset's Circus,Friday 28th August,17:00 - 18:00,Fosset's Circus
Fosset's Circus,Saturday 29th August,14:00 - 15:00,Fosset's Circus
Fosset's Circus,Saturday 29th August,17:00 - 18:00,Fosset's Circus
Fosset's Circus,Sunday 30th August,14:00 - 15:00,Fosset's Circus
Fosset's Circus,Sunday 30th August,17:00 - 18:00,Fosset's Circus
Global Green - Elements of Change,Friday 28th August,16:30 - 17:30,Voices from Global Green
Global Green - Elements of Change,Friday 28th August,17:45 - 18:45,MarkO
Global Green - Elements of Change,Friday 28th August,19:00 - 19:40,The Savage Jim Breen
Global Green - Elements of Change,Friday 28th August,20:00 - 20:40,Luke Clerkin
Global Green - Elements of Change,Friday 28th August,22:00 - 22:50,Riddim and Ting
Global Green - Elements of Change,Friday 28th August,23:00 - 23:50,Raggapuffin
Global Green - Elements of Change,Friday 28th August,00:00 - 01:20,DJ Ruari-Santiago McBride and Ollie Moore
Global Green - Elements of Change,Friday 28th August,01:20 - 02:15,DJ Kelsey
Global Green - Elements of Change,Friday 28th August,02:15 - 03:10,DJ Aaronoscar
Global Green - Elements of Change,Friday 28th August,03:10 - 04:00,DJ Eli
Global Green - Elements of Change,Saturday 29th August,11:00 - 12:00,Morning Yoga
Global Green - Elements of Change,Saturday 29th August,12:00 - 12:50,Laura Kehoe
Global Green - Elements of Change,Saturday 29th August,13:00 - 13:40,Feeding Ourselves - Food System Transformation with Siolta Croí
Global Green - Elements of Change,Saturday 29th August,13:45 - 14:15,Decolonising Agriculture with Rupa Marya and Ollie Moore
Global Green - Elements of Change,Saturday 29th August,14:15 - 15:00,Young Voices of Africa
Global Green - Elements of Change,Saturday 29th August,15:10 - 15:30,Caoimhe Butterly and Rupa Marya in Conversation: Palestine - what next?
Global Green - Elements of Change,Saturday 29th August,15:30 - 16:00,Leen Maarouf
Global Green - Elements of Change,Saturday 29th August,16:00 - 16:30,Palestine - what now what next in Ireland?
Global Green - Elements of Change,Saturday 29th August,16:30 - 17:00,Abood Aladham
Global Green - Elements of Change,Saturday 29th August,17:00 - 17:30,Yalla Craic - Play Roots and Resilience
Global Green - Elements of Change,Saturday 29th August,17:30 - 18:00,Rú O'Shea
Global Green - Elements of Change,Saturday 29th August,19:00 - 19:45,The Shan Vans
Global Green - Elements of Change,Saturday 29th August,20:00 - 20:45,Robot Rock
Global Green - Elements of Change,Saturday 29th August,21:00 - 21:45,Sauti Club Cork
Global Green - Elements of Change,Saturday 29th August,22:00 - 00:00,Hip Hop Hooray & DJ Rosko
Global Green - Elements of Change,Saturday 29th August,00:00 - 01:00,Hlymrekr
Global Green - Elements of Change,Saturday 29th August,01:00 - 02:00,Sophie Shaw
Global Green - Elements of Change,Saturday 29th August,02:00 - 03:00,KNUM
Global Green - Elements of Change,Saturday 29th August,03:00 - 04:00,B.R.E.D
Global Green - Elements of Change,Sunday 30th August,11:00 - 12:00,Morning Yoga
Global Green - Elements of Change,Sunday 30th August,12:30 - 14:00,Pleasure Activism
Global Green - Elements of Change,Sunday 30th August,14:00 - 15:00,Honouring the Dexter – Stories Heritage & Waste Not Want Not
Global Green - Elements of Change,Sunday 30th August,14:30 - 15:20,Cultural Creatives: Artivism in Action
Global Green - Elements of Change,Sunday 30th August,15:20 - 16:00,The Power of Community
Global Green - Elements of Change,Sunday 30th August,16:15 - 17:30,Mel White and Alys Taylor's Spoken Word Jam
Global Green - Elements of Change,Sunday 30th August,17:30 - 17:50,AnattaPatrick
Global Green - Elements of Change,Sunday 30th August,17:50 - 18:25,Nat Stone
Global Green - Elements of Change,Sunday 30th August,18:25 - 18:45,Sarah Szucs
Global Green - Elements of Change,Sunday 30th August,18:45 - 19:05,Sol Chase
Global Green - Elements of Change,Sunday 30th August,19:05 - 19:25,Evergreen Choose-Joy
Global Green - Elements of Change,Sunday 30th August,19:25 - 20:00,Cloughjordan Candlelit Ensemble
Global Green - Elements of Change,Sunday 30th August,20:15 - 21:00,The HQs
Global Green - Elements of Change,Sunday 30th August,21:00 - 22:00,The Accidental Rapper
Global Green - Elements of Change,Sunday 30th August,23:30 - 00:45,The Cazettes
Global Green - Elements of Change,Sunday 30th August,01:00 - 02:00,DJ Ollie Moore
Global Green - Elements of Change,Sunday 30th August,02:00 - 04:00,Anacalypsis
Glow Depot,Thursday 27th August,21:00 - 22:30,Mills
Glow Depot,Thursday 27th August,22:30 - 00:00,King Kong Company DJ Set
Glow Depot,Friday 28th August,11:05 - 12:10,Desires
Glow Depot,Friday 28th August,13:00 - 14:00,Together As One
Glow Depot,Friday 28th August,14:15 - 15:00,danzi
Glow Depot,Friday 28th August,15:30 - 16:30,Avenue 68
Glow Depot,Friday 28th August,16:45 - 17:30,Sugaboo
Glow Depot,Friday 28th August,17:45 - 18:45,Phallout
Glow Depot,Friday 28th August,19:00 - 19:45,Jeorge II
Glow Depot,Friday 28th August,20:00 - 21:00,The Dirty Circus
Glow Depot,Friday 28th August,21:00 - 21:15,EMORAH Collective
Glow Depot,Friday 28th August,21:15 - 22:00,Nuclearmaso
Glow Depot,Friday 28th August,22:00 - 00:00,vasuki red
Glow Depot,Friday 28th August,00:00 - 02:00,RNL
Glow Depot,Friday 28th August,02:00 - 04:00,Ev Wilde
Glow Depot,Saturday 29th August,12:30 - 14:30,BETZY NINA’s Dirty Breakfast
Glow Depot,Saturday 29th August,12:30 - 14:30,The Dirty Circus
Glow Depot,Saturday 29th August,15:05 - 15:50,Smokey
Glow Depot,Saturday 29th August,16:00 - 17:00,Fortune Igiebor
Glow Depot,Saturday 29th August,17:15 - 18:00,Lil Skag
Glow Depot,Saturday 29th August,18:15 - 20:15,Catacombs
Glow Depot,Saturday 29th August,20:15 - 21:15,Omen
Glow Depot,Saturday 29th August,21:30 - 21:45,EMORAH Collective
Glow Depot,Saturday 29th August,22:00 - 23:30,MANWELLI
Glow Depot,Saturday 29th August,23:30 - 01:30,The Mo Cultivation
Glow Depot,Saturday 29th August,01:30 - 02:30,JenTen
Glow Depot,Saturday 29th August,02:30 - 04:00,Jess Maciel
Glow Depot,Sunday 30th August,12:30 - 13:30,The Dirty Circus
Glow Depot,Sunday 30th August,13:50 - 14:50,EMPTY INTERNET
Glow Depot,Sunday 30th August,15:00 - 16:00,Saibhin
Glow Depot,Sunday 30th August,16:30 - 17:30,Salamay
Glow Depot,Sunday 30th August,17:45 - 18:45,Outstraight Records
Glow Depot,Sunday 30th August,19:15 - 20:15,Mount Pyrus
Glow Depot,Sunday 30th August,20:45 - 21:00,Abbey Blu
Glow Depot,Sunday 30th August,20:45 - 22:00,Boss Events & Friends
Glow Depot,Sunday 30th August,21:00 - 21:15,Angel Rose
Glow Depot,Sunday 30th August,21:15 - 21:30,Shiloh Grey
Glow Depot,Sunday 30th August,21:30 - 21:50,Mister K.Y.B
Glow Depot,Sunday 30th August,22:30 - 23:30,Nuclearmaso
Glow Depot,Sunday 30th August,23:30 - 00:30,Sloucho [DJ Set]
Glow Depot,Sunday 30th August,00:30 - 02:30,ASYLUM RESIDENTS
Glow Depot,Sunday 30th August,02:30 - 04:00,NewEra
Glow Depot - Courtside Stage,Friday 28th August,14:00 - 15:00,Nia Byrd
Glow Depot - Courtside Stage,Friday 28th August,15:00 - 16:00,Mookie
Glow Depot - Courtside Stage,Friday 28th August,18:00 - 19:00,Thxtti
Glow Depot - Courtside Stage,Friday 28th August,19:00 - 20:00,DJ Ozz G
Glow Depot - Courtside Stage,Friday 28th August,20:00 - 21:00,CNC
Glow Depot - Courtside Stage,Friday 28th August,22:00 - 04:00,Super Average DJs
Glow Depot - Courtside Stage,Saturday 29th August,14:00 - 15:00,DJ Chartini
Glow Depot - Courtside Stage,Saturday 29th August,15:00 - 16:00,Kiki D
Glow Depot - Courtside Stage,Saturday 29th August,18:00 - 19:00,Fergal D'Arcy
Glow Depot - Courtside Stage,Saturday 29th August,19:00 - 20:00,DJ Bongani
Glow Depot - Courtside Stage,Saturday 29th August,20:00 - 22:00,Aneta Moran Sax
Glow Depot - Courtside Stage,Saturday 29th August,22:00 - 04:00,Super Average DJs
Glow Depot - Courtside Stage,Sunday 30th August,14:00 - 15:00,Mick G
Glow Depot - Courtside Stage,Sunday 30th August,15:00 - 16:00,Bren Curtis
Glow Depot - Courtside Stage,Sunday 30th August,18:00 - 19:00,Nancy Wilde
Glow Depot - Courtside Stage,Sunday 30th August,19:00 - 20:00,SX2
Glow Depot - Courtside Stage,Sunday 30th August,20:00 - 22:00,Aneta Moran Sax
Glow Depot - Courtside Stage,Sunday 30th August,22:00 - 04:00,Super Average DJs
Guinness Lovely Times Stage,Friday 28th August,14:00 - 15:00,BLKCNVS
Guinness Lovely Times Stage,Friday 28th August,15:00 - 15:45,KK Lewis
Guinness Lovely Times Stage,Friday 28th August,16:00 - 17:00,The Wran (Trad Session)
Guinness Lovely Times Stage,Friday 28th August,17:00 - 18:30,Mo Cultivation
Guinness Lovely Times Stage,Friday 28th August,18:30 - 19:15,Morgana
Guinness Lovely Times Stage,Friday 28th August,20:00 - 21:00,Grá (Trad Session)
Guinness Lovely Times Stage,Friday 28th August,21:30 - 22:15,Sorcha Richardson
Guinness Lovely Times Stage,Friday 28th August,22:15 - 00:00,Gurriers DJ
Guinness Lovely Times Stage,Friday 28th August,00:00 - 02:00,Sally Cinnamon
Guinness Lovely Times Stage,Saturday 29th August,12:00 - 12:45,and he the fool (Trad Session)
Guinness Lovely Times Stage,Saturday 29th August,12:45 - 14:15,Little O
Guinness Lovely Times Stage,Saturday 29th August,14:15 - 15:15,Simple Things (Trad Session)
Guinness Lovely Times Stage,Saturday 29th August,16:00 - 17:00,Black Nylon DJ
Guinness Lovely Times Stage,Saturday 29th August,17:00 - 17:45,SHAMROCK SHOWBAND
Guinness Lovely Times Stage,Saturday 29th August,18:00 - 19:30,Darren Regan
Guinness Lovely Times Stage,Saturday 29th August,21:30 - 22:30,Cliffords DJ
Guinness Lovely Times Stage,Saturday 29th August,22:30 - 23:30,Graham Smyth B2B Claire Beck
Guinness Lovely Times Stage,Saturday 29th August,23:30 - 01:00,Soft Boy DJ
Guinness Lovely Times Stage,Saturday 29th August,01:00 - 02:00,Surka
Guinness Lovely Times Stage,Sunday 30th August,13:00 - 14:00,Governess
Guinness Lovely Times Stage,Sunday 30th August,14:00 - 15:00,Esmeralda Road
Guinness Lovely Times Stage,Sunday 30th August,15:00 - 16:00,Ispini na hEireann (Trad Session)
Guinness Lovely Times Stage,Sunday 30th August,16:00 - 16:40,Kayleigh Noble
Guinness Lovely Times Stage,Sunday 30th August,16:40 - 18:00,Forget Romance
Guinness Lovely Times Stage,Sunday 30th August,18:00 - 19:00,The Byrne Brothers (Trad Session)
Guinness Lovely Times Stage,Sunday 30th August,19:00 - 20:00,Ricky Chong
Guinness Lovely Times Stage,Sunday 30th August,20:00 - 21:00,Pillow Queens
Guinness Lovely Times Stage,Sunday 30th August,21:00 - 23:00,Minikimono
Guinness Lovely Times Stage,Sunday 30th August,23:00 - 23:40,Dave Lofts
Guinness Lovely Times Stage,Sunday 30th August,23:40 - 01:00,George Feely
Guinness Lovely Times Stage,Sunday 30th August,01:00 - 02:00,Madra Salach DJ
Hazelwood - Chollchoill,Thursday 27th August,19:00 - 19:10,Bláithín De Burca - BlaComedy
Hazelwood - Chollchoill,Thursday 27th August,19:10 - 19:40,Léaró
Hazelwood - Chollchoill,Thursday 27th August,19:40 - 20:00,Bláithín De Burca - BlaComedy
Hazelwood - Chollchoill,Thursday 27th August,20:00 - 20:30,MARYANN - Electric Youth
Hazelwood - Chollchoill,Thursday 27th August,20:30 - 20:50,Bláithín De Burca - BlaComedy
Hazelwood - Chollchoill,Thursday 27th August,20:50 - 21:20,Entr’achte - Performance 1
Hazelwood - Chollchoill,Thursday 27th August,21:20 - 21:30,Bláithín De Burca - BlaComedy
Hazelwood - Chollchoill,Thursday 27th August,21:30 - 22:00,Entr’achte - Performance 1
Hazelwood - Chollchoill,Thursday 27th August,22:10 - 22:40,Entr’achte - Performance 1
Hazelwood - Chollchoill,Thursday 27th August,23:00 - 23:20,INNNER VISION Visual Light Projection by Susan Walsh
Hazelwood - Chollchoill,Thursday 27th August,23:30 - 23:50,Morrigna Fire Show
Hazelwood - Chollchoill,Friday 28th August,13:00 - 13:40,Sacred Sites of Ireland | Sean Scéalta
Hazelwood - Chollchoill,Friday 28th August,14:00 - 14:45,M⁠isleór Festival of Nomadic Cultures
Hazelwood - Chollchoill,Friday 28th August,15:15 - 16:00,Coscán
Hazelwood - Chollchoill,Friday 28th August,16:30 - 17:15,Major Feen
Hazelwood - Chollchoill,Friday 28th August,17:45 - 18:30,The Liam O Connor Show
Hazelwood - Chollchoill,Friday 28th August,19:00 - 19:45,Hiphap Gaelach
Hazelwood - Chollchoill,Friday 28th August,20:30 - 21:15,Rua Rí
Hazelwood - Chollchoill,Friday 28th August,21:45 - 22:30,Clada
Hazelwood - Chollchoill,Friday 28th August,22:55 - 23:55,Susan Walsh
Hazelwood - Chollchoill,Friday 28th August,23:35 - 00:20,Burnchurch
Hazelwood - Chollchoill,Saturday 29th August,13:00 - 13:40,Fierin J - Electric Youth
Hazelwood - Chollchoill,Saturday 29th August,14:00 - 14:45,Paradise Conspiracy - Electric Youth
Hazelwood - Chollchoill,Saturday 29th August,15:15 - 16:00,Oracle Villa
Hazelwood - Chollchoill,Saturday 29th August,16:30 - 17:15,The Caochaleles
Hazelwood - Chollchoill,Saturday 29th August,17:45 - 18:30,Lúlia Gillian Egleston & Mike Hennigar
Hazelwood - Chollchoill,Saturday 29th August,19:00 - 19:45,Leatsa
Hazelwood - Chollchoill,Saturday 29th August,20:30 - 21:15,Méabh Mulligan & Eva Carroll
Hazelwood - Chollchoill,Saturday 29th August,21:45 - 22:30,Bog Bodies
Hazelwood - Chollchoill,Saturday 29th August,23:35 - 00:20,HAZELWOOD SECRET ACT 1
Hazelwood - Chollchoill,Saturday 29th August,01:55 - 02:55,Susan Walsh
Hazelwood - Chollchoill,Sunday 30th August,13:00 - 13:40,Beomhar - Electric Youth
Hazelwood - Chollchoill,Sunday 30th August,14:00 - 14:45,Mackayla Chloe - Electric Youth
Hazelwood - Chollchoill,Sunday 30th August,15:15 - 16:00,An Galar Dub v shelovescalpol
Hazelwood - Chollchoill,Sunday 30th August,16:30 - 17:15,Rageire
Hazelwood - Chollchoill,Sunday 30th August,22:15 - 23:30,HAZELWOOD SECRET ACT 2
Hazelwood - Chollchoill,Sunday 30th August,23:45 - 00:30,DJ Nemo / Beo Picnic
Irish Harp Stage,Friday 28th August,14:00 - 14:40,Laoise Kelly
Irish Harp Stage,Friday 28th August,15:00 - 15:40,Luke Webb Robert Harvey & Oisín McCann
Irish Harp Stage,Friday 28th August,16:00 - 16:20,BRÍDÍN
Irish Harp Stage,Friday 28th August,16:20 - 16:40,Jennifer Leahy
Irish Harp Stage,Friday 28th August,17:00 - 17:40,TRIAD
Irish Harp Stage,Friday 28th August,18:00 - 19:00,Anne-Marie O’Farrell & Cormac De Barra
Irish Harp Stage,Saturday 29th August,13:00 - 13:20,Úna Ní Fhlannagáin
Irish Harp Stage,Saturday 29th August,13:20 - 13:40,Eimear Coughlan
Irish Harp Stage,Saturday 29th August,14:00 - 14:40,Ursula Burns – The Dangerous Harpist
Irish Harp Stage,Saturday 29th August,15:00 - 15:40,Deirdre & Aoife Granville
Irish Harp Stage,Saturday 29th August,16:00 - 16:40,Cruitirí Loch Garman/Wexford Harp Ensemble
Irish Harp Stage,Saturday 29th August,17:00 - 18:00,Aisling Lyons Becky Ní Éallaithe & Muireann Ní Shé
Irish Harp Stage,Sunday 30th August,13:00 - 13:20,Kathleen Loughnane & Catriona Cannon
Irish Harp Stage,Sunday 30th August,13:20 - 13:40,Tríona Marshall
Irish Harp Stage,Sunday 30th August,14:00 - 14:40,Music Generation Mayo Harp Ensemble
Irish Harp Stage,Sunday 30th August,15:00 - 15:40,Music Generation Laois Harp Ensemble
Irish Harp Stage,Sunday 30th August,16:00 - 16:40,Music Generation Louth Harp Ensemble
Irish Harp Stage,Sunday 30th August,17:00 - 18:00,Uaithne
Little Picnic - Creativity Tent,Friday 28th August,15:30 - 16:30,Festival Fashion Lab
Little Picnic - Creativity Tent,Friday 28th August,17:00 - 18:00,Tie Dye with Lollipop Apparel
Little Picnic - Creativity Tent,Saturday 29th August,11:15 - 12:15,Lino Print Your Own Wooden Bookmark
Little Picnic - Creativity Tent,Saturday 29th August,13:00 - 14:00,Festival Fashion Lab
Little Picnic - Creativity Tent,Saturday 29th August,14:45 - 15:45,Crann Music & Storytelling
Little Picnic - Creativity Tent,Saturday 29th August,16:15 - 17:15,Tie Dye with Lollipop Apparel
Little Picnic - Creativity Tent,Sunday 30th August,11:30 - 13:30,Messy Play with All Abilities
Little Picnic - Creativity Tent,Sunday 30th August,14:00 - 14:45,Planet Science Kidz: Slime Lab
Little Picnic - Creativity Tent,Sunday 30th August,15:00 - 15:45,Planet Science Kidz: Slime Lab
Little Picnic - Creativity Tent,Sunday 30th August,16:15 - 17:15,Lino Print Festival Bunting
Little Picnic - Expression & Storytelling Tent,Saturday 29th August,11:30 - 13:30,Messy Play with All Abilities
Little Picnic - Expression & Storytelling Tent,Saturday 29th August,14:00 - 15:00,Fighting Words
Little Picnic - Expression & Storytelling Tent,Saturday 29th August,15:30 - 16:30,Shiv Hickey
Little Picnic - Expression & Storytelling Tent,Saturday 29th August,16:00 - 17:00,Little Irish History Heros with Niamh Donnellan
Little Picnic - Expression & Storytelling Tent,Sunday 30th August,12:30 - 13:30,GSA - The Magic of Disney
Little Picnic - Expression & Storytelling Tent,Sunday 30th August,14:00 - 14:45,Fighting Words
Little Picnic - Expression & Storytelling Tent,Sunday 30th August,15:15 - 16:15,GSA - Broadway Bites
Little Picnic - Expression & Storytelling Tent,Sunday 30th August,16:45 - 17:45,Crann Music & Storytelling
Little Picnic - Ickle Big Top,Friday 28th August,14:30 - 15:15,Baby Boppers with Emarley
Little Picnic - Ickle Big Top,Friday 28th August,15:45 - 16:30,Son's of Éire
Little Picnic - Ickle Big Top,Friday 28th August,17:00 - 18:00,Don King
Little Picnic - Ickle Big Top,Saturday 29th August,12:15 - 13:00,Baby Boppers with Emarley
Little Picnic - Ickle Big Top,Saturday 29th August,13:30 - 14:15,Abegail
Little Picnic - Ickle Big Top,Saturday 29th August,14:45 - 15:45,Son's of Éire
Little Picnic - Ickle Big Top,Saturday 29th August,16:15 - 17:00,Kowgirl Kourtney - Aerial and Hula Hoop Extravaganza
Little Picnic - Ickle Big Top,Saturday 29th August,17:30 - 18:30,DJ Will Softly
Little Picnic - Ickle Big Top,Sunday 30th August,12:00 - 12:45,Ballymore Eustace Brass Band
Little Picnic - Ickle Big Top,Sunday 30th August,13:15 - 14:00,Kowgirl Kourtney - Aerial and Hula Hoop Extravaganza
Little Picnic - Ickle Big Top,Sunday 30th August,15:00 - 15:45,Niall de Burca
Little Picnic - Ickle Big Top,Sunday 30th August,16:00 - 17:00,Hype Man Jackson feat. Calum Kieran
Little Picnic - Ickle Big Top,Sunday 30th August,17:30 - 18:30,DJ Will Softly
Little Picnic - Sports Field,Saturday 29th August,13:00 - 16:00,School Fitness Ireland
Little Picnic - Sports Field,Sunday 30th August,13:00 - 16:00,School Fitness Ireland
Little Picnic - Walkabout,Saturday 29th August,13:00 - 15:00,Burning Circus Flow Artists
Little Picnic - Walkabout,Saturday 29th August,15:00 - 16:00,The Bubble Guys
Little Picnic - Walkabout,Sunday 30th August,13:00 - 15:00,Burning Circus Flow Artists
Little Picnic - Walkabout,Sunday 30th August,15:00 - 16:00,The Bubble Guys
Little Picnic - Workshop Tent,Friday 28th August,15:15 - 16:00,Crann Tree Planting Workshop
Little Picnic - Workshop Tent,Friday 28th August,16:15 - 17:15,Zine Making Workshop with Etereal Magzine
Little Picnic - Workshop Tent,Saturday 29th August,11:30 - 12:30,Crann Tree Planting Workshop
Little Picnic - Workshop Tent,Saturday 29th August,13:15 - 14:15,ATU Robotics Workshop
Little Picnic - Workshop Tent,Saturday 29th August,14:45 - 15:45,Ruth Shine School of Dance
Little Picnic - Workshop Tent,Saturday 29th August,16:15 - 17:15,Instrument Building Workshop
Little Picnic - Workshop Tent,Sunday 30th August,11:30 - 12:30,Crann Tree Planting Workshop
Little Picnic - Workshop Tent,Sunday 30th August,13:00 - 14:00,Mark The Science Guy
Little Picnic - Workshop Tent,Sunday 30th August,14:30 - 15:30,ATU Robotics Workshop
Little Picnic - Workshop Tent,Sunday 30th August,16:00 - 17:00,Instrument Building Workshop
Little Picnic - Workshop Tent,Sunday 30th August,17:15 - 18:00,Little Irish History Heros with Niamh Donnellan
Mindfield - Ah Hear! Podcast Stage,Friday 28th August,16:00 - 16:50,Laois Today and Colm Parkinson of the Smaller Fish Podcast
Mindfield - Ah Hear! Podcast Stage,Friday 28th August,17:20 - 18:10,Crime World Podcast with Nicola Tallant: The Dapper Don
Mindfield - Ah Hear! Podcast Stage,Friday 28th August,18:40 - 19:30,How to Gael
Mindfield - Ah Hear! Podcast Stage,Saturday 29th August,12:00 - 12:50,RTÉ Documentary On One: The Composers — Úlfur Eldjárn Paddy Flynn & Alma Kelliher
Mindfield - Ah Hear! Podcast Stage,Saturday 29th August,13:20 - 14:10,The Irish Times Inside Politics Podcast with Political Editor Pat Leahy and Political Correspondents Ellen Coyne and Jack Horgan Jones
Mindfield - Ah Hear! Podcast Stage,Saturday 29th August,14:40 - 15:30,House Warming with James Kavanagh and William Murray and Kim Buckley
Mindfield - Ah Hear! Podcast Stage,Saturday 29th August,16:00 - 16:50,Catch Up with Louise McSharry and Carl Kinsella with Emer McLysaght
Mindfield - Ah Hear! Podcast Stage,Saturday 29th August,17:20 - 18:10,Paul Howard presents: Ross O'Carroll Kelly
Mindfield - Ah Hear! Podcast Stage,Saturday 29th August,18:40 - 19:30,Shane McCarthy - I Said What I Said
Mindfield - Ah Hear! Podcast Stage,Sunday 30th August,10:40 - 11:30,Fifth Court Podcast with Jason Carty on The Beatles
Mindfield - Ah Hear! Podcast Stage,Sunday 30th August,12:00 - 12:50,Shite Talk History
